Fur,Size,Shape,Ears,Tail,Vocal,Behavior,Legs,Eyes,Habitat,Class
-0.23,-0.0,-1.45,-0.32,-0.69,-0.79,0.25,-1.23,-0.54,-0.74,dog
-2.15,0.14,0.68,0.61,-1.36,-0.35,0.67,-1.54,0.09,0.21,cat
-0.82,-0.71,-0.53,-0.56,0.94,0.06,0.37,0.57,-1.32,0.78,dog
0.9,0.94,0.44,0.82,0.02,-1.7,-0.21,1.68,-2.42,-0.1,rabbit
0.22,-2.24,-0.51,-0.09,-0.78,-1.8,0.13,0.43,1.66,0.61,rabbit
-0.66,-1.26,-0.11,-2.57,0.83,0.49,-0.07,-0.69,-1.81,-1.72,rabbit
0.49,0.24,-0.45,-0.61,-2.03,0.61,-0.35,0.15,0.5,-0.79,dog
1.78,-1.25,0.79,-0.28,0.69,-0.13,-0.04,0.03,1.41,1.06,cat
1.38,0.14,1.23,0.9,0.09,0.2,0.69,1.82,-0.02,1.86,rabbit
-0.3,1.19,1.17,-1.08,0.3,-0.09,0.74,-2.23,0.12,-0.23,cat
-0.76,-0.36,0.0,0.55,0.15,0.25,1.6,-0.27,-1.46,0.95,dog
-0.73,2.84,-0.32,0.26,0.47,0.85,0.55,1.07,-0.21,-1.64,rabbit
-0.14,-1.1,-2.64,-1.89,-0.17,-0.05,-0.09,-1.02,-0.98,-0.36,rabbit
-2.09,0.36,0.43,0.05,1.1,-1.23,1.11,-0.7,0.73,-0.32,cat
-0.34,0.31,-2.27,0.23,-1.0,0.53,0.57,-2.69,0.49,0.64,rabbit
1.3,-0.31,-0.27,1.86,-0.64,0.84,-0.36,-1.43,-0.17,1.17,cat
-0.17,-1.14,-1.07,-0.24,1.33,0.89,-0.3,0.19,1.4,0.06,dog
-0.3,-0.9,-1.52,-1.07,-1.57,0.44,0.22,0.12,0.75,-1.1,cat
0.47,0.63,-0.74,0.7,0.18,0.24,0.04,0.8,0.93,1.23,dog
0.65,-0.06,-0.19,2.3,1.71,-0.23,0.84,1.19,-0.6,0.22,cat
-1.84,-1.07,1.36,-0.76,0.32,1.99,-1.07,-0.46,1.34,-0.25,rabbit
-1.31,-0.63,-0.12,0.14,0.4,0.03,0.34,-1.17,-0.25,0.15,dog
1.96,-0.67,-0.17,-0.93,1.31,-0.32,0.85,-0.52,-0.49,-1.62,cat
0.87,0.31,-0.29,0.61,-0.83,0.96,-1.42,-0.9,-1.38,-0.42,cat
-0.27,-0.95,-0.36,-0.53,-2.29,-1.12,-1.24,0.16,1.81,-0.84,rabbit
0.38,2.17,-0.32,1.51,0.26,-0.38,1.04,0.67,0.51,1.01,cat
0.35,1.23,0.78,-0.61,1.41,0.06,-0.74,2.24,-1.05,-0.11,cat
-0.56,-0.21,-0.9,1.28,-1.32,-0.06,0.8,-0.59,1.76,-0.78,cat
2.49,1.51,0.51,0.05,0.43,-0.67,-0.25,-0.08,0.47,-0.74,cat
-1.21,-1.89,1.83,-1.5,0.27,0.32,0.16,0.85,1.26,-1.3,rabbit
1.28,0.61,0.83,0.28,-1.02,0.13,-0.74,0.73,1.25,-0.2,dog
-2.36,-0.03,-0.27,-0.08,-1.33,0.23,0.02,-0.99,0.3,0.05,cat
0.16,-1.42,3.0,-0.28,-0.77,0.39,0.73,0.45,-2.12,0.8,rabbit
-1.26,0.54,0.65,0.99,0.58,1.74,-2.06,0.27,-0.44,0.38,cat
1.41,-0.65,-1.25,0.57,0.25,0.77,0.41,1.57,-0.67,0.2,cat
-1.29,0.24,-0.79,0.01,0.71,0.23,0.26,-2.52,1.02,0.5,cat
-0.65,0.69,-0.93,-1.36,-1.66,0.86,-0.04,0.02,-0.47,-0.02,dog
0.58,-0.97,0.18,-0.05,-0.18,-0.22,0.2,0.93,-0.53,-0.41,dog
-0.62,1.05,0.46,-0.21,0.02,0.43,-2.31,0.33,-0.38,1.8,cat
-1.39,-0.4,-0.59,1.88,-0.93,0.2,-1.17,-1.03,0.45,-0.59,cat
-1.18,0.4,0.4,0.46,-0.08,-0.16,-1.1,-0.25,0.58,0.41,dog
-1.41,-0.27,-0.29,-0.65,2.5,-0.04,-0.55,-1.12,-1.63,-0.31,rabbit
-0.5,2.67,-0.61,-0.82,-0.46,-0.68,0.27,-0.07,0.37,-1.13,cat
-0.78,1.9,-0.01,-0.71,1.38,-0.16,-0.65,-1.45,0.78,-1.09,cat
0.91,0.94,-0.26,-0.62,0.18,-0.79,1.99,0.14,0.79,-1.27,cat
0.44,0.49,1.07,2.05,-1.5,1.41,0.3,-1.1,-0.61,1.1,rabbit
-1.27,0.31,0.5,1.29,-0.11,-0.62,0.56,0.24,0.28,-0.07,dog
0.4,-0.19,-3.05,0.48,-1.55,0.58,-0.96,-1.46,0.49,-1.49,rabbit
-0.38,-0.93,-0.64,-0.22,0.1,-1.44,-0.37,-0.62,-0.07,0.09,dog
-0.22,-0.2,0.19,0.41,0.2,0.12,-0.67,0.38,0.12,1.13,dog
-1.6,1.33,-0.5,-0.94,-1.05,-1.86,0.22,0.29,1.05,-0.16,cat
-1.52,2.26,-1.44,-0.1,-0.07,-0.07,-1.21,1.66,-2.31,0.06,rabbit
-1.13,0.65,-0.71,-0.77,-0.6,-1.54,-0.94,0.34,0.68,-0.12,dog
-0.61,-0.25,-1.66,-0.33,0.35,-0.99,-2.12,-1.11,0.56,-0.08,cat
-0.06,-0.28,-1.26,-0.44,0.04,0.25,-1.79,-1.45,0.67,0.02,cat
-0.46,-0.02,-1.56,0.12,-0.6,-0.04,0.5,-0.07,1.07,0.58,dog
0.91,0.74,-0.59,0.33,0.15,0.17,-0.72,0.48,-1.18,-0.86,dog
-2.42,-0.72,0.58,0.48,0.37,-0.16,-1.3,-0.19,1.66,0.87,rabbit
1.0,0.15,-0.39,-1.33,-0.8,0.26,-0.17,1.81,-0.86,-2.16,rabbit
1.7,1.0,1.57,0.62,-1.46,2.08,-2.8,-0.13,-0.65,-0.69,rabbit
0.9,-1.38,0.68,0.22,1.64,1.01,-1.06,0.42,0.65,-0.36,cat
0.1,1.39,-0.72,-0.11,-1.59,0.42,0.2,-0.36,-0.72,1.36,cat
-1.17,0.3,-0.87,-0.26,0.81,0.0,-1.4,-0.37,-0.67,-2.0,cat
-0.39,0.01,-0.29,0.49,2.28,-0.11,2.25,-0.61,-0.33,1.24,rabbit
0.06,0.21,-0.61,-0.23,0.13,-0.05,-2.1,0.77,0.66,0.97,dog
0.11,-0.74,1.23,-2.17,-2.02,-0.65,-0.14,-0.93,-0.82,0.43,rabbit
-0.02,-1.96,-0.97,0.21,-1.02,-0.36,-0.08,0.07,0.57,-0.36,dog
-1.15,-0.87,-0.72,0.03,-0.33,0.68,0.95,-0.16,-0.06,1.57,dog
0.7,-1.63,-0.5,1.01,0.1,0.03,0.7,0.22,-0.6,-0.4,dog
1.04,-0.17,-1.23,0.83,-0.2,-0.14,-2.13,-0.44,-0.64,0.11,cat
-1.58,0.75,-1.02,1.1,0.82,0.11,-0.47,-0.3,0.87,0.03,dog
-0.39,1.08,-0.93,1.08,-0.87,0.28,1.79,0.83,-0.54,-0.42,cat
0.47,0.26,0.14,1.4,-2.28,0.66,0.76,-1.12,0.88,-2.05,rabbit
-0.5,-0.32,1.17,1.26,-0.09,0.05,0.89,-0.86,-0.5,-0.25,dog
-1.53,0.75,0.17,0.62,-0.57,-0.12,-0.13,-0.94,-0.67,-0.68,dog
0.78,-0.59,0.97,0.06,0.99,0.06,2.1,-1.72,-0.39,1.24,rabbit
1.0,-1.01,0.05,0.07,0.64,-0.58,-0.27,0.39,1.32,-1.05,dog
-0.53,1.31,1.07,-0.99,0.05,0.07,-1.07,0.41,0.55,1.49,cat
0.28,1.23,-1.09,-0.74,0.08,0.57,-0.7,-0.79,0.77,0.98,dog
-1.57,-0.93,0.25,2.0,0.52,-1.11,0.21,-1.49,-0.39,0.55,rabbit
-0.47,0.92,0.75,-0.29,0.52,0.19,1.39,0.65,-0.82,-0.75,dog
-0.83,-1.32,0.55,-1.91,-0.46,-0.44,-0.16,0.58,-0.61,0.12,dog
0.6,-1.35,-0.55,-0.26,-0.45,-0.2,0.16,-0.22,0.69,-0.25,dog
1.08,1.23,-0.28,0.33,-0.57,0.31,0.16,-0.39,-0.04,-0.54,dog
1.08,1.65,0.71,0.27,0.33,-0.19,0.19,-1.71,1.94,0.64,rabbit
0.44,-0.69,-1.56,-1.3,-0.73,-0.84,-2.1,0.7,0.86,1.19,rabbit
-1.32,-1.88,-2.17,0.97,-0.27,1.32,0.42,0.07,-1.2,-2.64,rabbit
-1.03,0.65,-0.57,-0.88,-0.09,-0.32,1.4,-0.91,-1.28,-0.94,cat
-1.15,-1.15,0.29,-1.29,-0.69,-0.76,-0.72,0.06,-0.45,0.01,dog
-0.94,-1.11,0.3,2.13,1.8,-0.17,-0.42,0.18,0.03,-0.46,cat
-2.3,2.1,0.43,1.21,0.44,2.51,0.05,-0.3,1.22,-0.46,rabbit
0.61,-1.7,0.39,-0.38,-0.33,2.41,-0.48,1.01,-0.31,1.01,rabbit
-0.63,0.63,0.23,-1.52,0.39,-0.26,0.22,0.36,0.82,-2.14,cat
0.25,0.6,-0.32,1.7,1.19,0.91,0.24,-0.28,0.1,0.16,dog
0.29,-1.6,-1.06,-0.2,-0.24,0.39,0.87,-0.34,-1.15,-1.09,dog
-0.55,0.63,0.65,-2.12,-0.41,0.39,-2.09,-0.96,0.49,-0.69,rabbit
1.36,-2.13,1.09,0.62,-1.3,1.2,-0.66,0.69,-0.78,-1.27,rabbit
-0.58,-0.64,0.54,1.7,0.79,-0.43,-1.26,2.81,-0.61,0.04,rabbit
-1.78,0.86,-0.45,-0.45,-1.36,0.75,-0.98,0.32,0.28,0.66,cat
1.01,0.44,-1.17,-1.07,0.93,-0.17,0.98,-1.33,-0.77,-0.69,cat
-1.53,1.23,0.98,-1.59,-0.05,-1.24,-0.14,0.56,-0.14,-1.36,cat
-0.69,-0.32,0.9,-1.32,1.31,-0.31,-0.05,0.11,1.0,0.51,dog
-0.67,0.62,-1.94,0.79,0.76,-1.06,-0.16,0.5,0.36,-0.03,dog
-0.61,-1.57,-0.9,-0.35,1.09,-0.53,0.21,-0.51,0.09,0.69,dog
-1.59,-0.96,-1.16,-0.4,1.36,-0.1,1.3,-0.3,1.17,-0.72,cat
0.4,-0.27,-0.78,1.65,0.58,-0.98,-0.7,-0.53,0.49,1.3,dog
1.84,0.19,0.84,-0.66,0.19,0.64,0.38,-0.54,1.63,0.17,cat
-0.19,-1.75,-0.15,0.75,0.78,-0.48,0.54,-0.25,0.36,0.94,dog
-0.34,-1.66,-1.36,1.11,0.25,0.9,-0.33,1.46,0.94,-0.61,cat
1.92,0.5,0.12,-1.1,-0.5,0.31,0.23,1.46,0.03,-0.14,cat
1.16,0.37,1.9,1.11,0.66,-1.63,0.6,0.42,0.81,1.04,rabbit
0.9,0.91,0.32,-0.34,-2.13,0.18,0.29,0.83,-0.93,-0.85,cat
0.65,-0.07,-0.7,-1.54,-0.46,-0.99,-1.35,-1.21,-0.66,0.52,cat
-1.4,-0.98,2.24,-0.97,-0.29,-1.01,0.84,-0.13,2.33,-0.1,rabbit
1.29,0.9,-0.26,-0.01,0.8,0.34,-1.14,0.31,-0.73,2.04,cat
-1.1,-1.09,-1.39,0.83,-0.45,1.09,-0.81,0.61,1.41,-0.09,cat
2.01,0.59,-1.0,1.05,2.06,1.27,-0.58,-0.66,-0.37,-1.05,rabbit
0.51,0.92,-0.36,-1.11,2.71,-0.43,-0.72,1.2,1.85,0.66,rabbit
0.07,1.01,-1.56,-0.61,-0.14,-0.73,0.53,0.0,0.32,-0.73,dog
0.28,-0.4,0.41,-0.02,1.57,0.41,-0.62,0.81,0.18,0.51,dog
-0.14,-0.63,0.32,-1.1,-0.24,0.94,-0.69,-0.05,-1.22,0.5,dog
1.02,-0.47,-1.21,0.25,0.42,-1.21,-0.06,0.18,-1.76,0.31,cat
-0.42,-0.21,0.51,-0.76,0.9,-0.64,-0.6,-0.82,-0.38,-1.37,dog
-1.15,-0.28,1.02,0.76,1.46,-0.21,-1.25,-1.9,1.2,0.11,rabbit
0.65,-1.35,-1.41,1.13,1.57,-0.24,0.56,-1.5,-1.94,-1.17,rabbit
-0.57,-0.12,-0.86,1.03,-1.65,-1.36,-0.64,0.25,-0.32,0.03,dog
0.11,-0.39,2.11,0.71,0.41,-2.14,1.69,0.84,-0.33,0.24,rabbit
0.85,0.66,-1.36,2.45,2.09,-0.49,-0.46,-1.33,0.61,-0.0,rabbit
0.52,-0.48,-0.04,1.04,0.67,2.43,1.01,0.35,0.61,-0.35,cat
1.4,-1.72,-0.04,-0.8,-1.22,-1.58,0.78,-0.58,-0.1,1.02,rabbit
1.23,-0.61,-0.95,-0.48,-0.82,0.97,0.6,0.46,1.13,-0.14,dog
0.75,-0.21,1.63,-0.59,0.4,-1.55,1.33,0.25,-0.71,-1.19,cat
-0.05,0.64,0.46,-0.09,-1.07,0.34,0.47,-0.98,1.3,0.3,dog
-0.16,0.53,-1.04,0.41,0.04,-1.46,0.5,0.49,-0.67,1.06,dog
1.56,1.87,-0.71,1.3,0.58,-0.47,-0.12,-1.57,0.48,0.08,rabbit
-1.9,-1.68,0.74,-1.96,0.45,0.69,0.37,-0.26,0.73,0.66,rabbit
1.69,0.24,-2.5,0.38,-1.31,-0.5,-1.15,0.43,-0.63,0.77,rabbit
0.25,0.49,1.11,0.33,0.16,0.85,-0.62,-1.09,-0.02,0.83,dog
-1.5,1.02,-0.32,-0.42,0.28,-0.12,-2.02,-2.24,-0.33,0.22,rabbit
-0.02,0.73,0.95,0.1,1.03,-0.15,-0.86,-0.93,0.54,-1.96,cat
-0.88,1.55,0.52,-0.14,-0.49,0.11,0.18,-0.34,-0.32,-1.24,dog
0.68,0.1,0.38,-0.14,0.3,-1.59,0.64,0.36,0.89,0.11,dog
-0.16,1.74,-0.2,0.7,-0.56,-0.88,-0.8,-2.25,-0.66,0.88,rabbit
-0.06,0.31,0.56,-2.01,2.5,2.0,-0.14,-0.02,1.24,-1.4,rabbit
0.94,1.56,-0.07,-2.26,0.97,0.91,1.09,-0.7,0.21,-1.59,rabbit
-0.95,-0.42,-0.49,0.05,0.1,0.68,-0.66,-0.29,-0.16,0.62,dog
-0.89,-0.59,-0.16,-0.02,-1.63,-2.23,0.56,0.77,-2.47,0.89,rabbit
1.48,1.03,-0.57,-0.03,0.23,0.06,1.59,-0.82,0.82,-0.11,dog
1.12,1.17,-0.73,0.54,0.09,0.33,-0.43,0.47,0.39,-0.82,dog
1.12,0.22,1.02,-0.03,-1.0,-1.35,-1.42,-1.11,0.63,1.78,rabbit
-0.65,1.12,-0.36,0.55,0.15,-0.23,-1.49,-1.18,-0.2,-1.67,cat
-1.45,-1.28,-0.84,1.08,2.63,-0.58,0.8,0.06,-0.88,0.78,rabbit
0.54,0.53,-2.09,1.05,1.12,1.16,0.56,-0.67,-0.49,-0.94,cat
1.11,1.56,-0.51,-0.21,0.53,-1.29,-0.83,-0.93,0.46,-0.77,cat
-0.9,-1.8,0.86,-1.09,0.69,-0.94,-0.38,-1.72,1.89,-2.23,rabbit
-1.11,0.27,-0.29,0.3,-1.5,0.05,0.89,-0.1,-0.65,0.45,dog
0.46,-0.49,0.59,-1.01,-1.44,-0.21,-0.2,-0.46,-0.39,-0.37,dog
0.79,2.0,1.07,-0.39,-0.97,-1.06,-3.1,-0.17,0.2,-0.25,rabbit
-1.08,0.44,1.96,-0.2,-0.54,0.13,-0.69,-0.54,0.31,-1.35,cat
1.49,-0.93,2.17,-0.83,-0.46,0.3,-1.4,1.55,-1.07,0.61,rabbit
0.65,0.48,1.34,-1.28,0.67,0.81,-0.28,0.25,1.25,-0.18,dog
-1.09,-1.02,-0.07,-0.04,1.85,1.2,0.37,-1.51,0.24,0.29,cat
-3.66,-1.24,0.99,0.08,-1.02,0.07,-1.41,-1.08,-0.69,-0.17,rabbit
-3.2,-0.47,-0.26,0.89,0.36,0.33,0.03,0.5,0.29,-0.73,rabbit
-0.36,-0.52,-0.23,-0.49,0.68,1.43,0.04,2.03,-0.63,-0.53,cat
-1.55,-0.17,0.21,1.12,-1.93,0.15,-0.14,0.14,-1.19,0.46,cat
-1.85,0.9,0.5,-0.7,-0.11,-0.73,-0.14,0.25,0.35,-0.5,dog
-0.34,-1.0,1.04,0.61,-0.07,-0.11,0.45,1.77,0.87,-0.51,dog
-1.69,-0.55,0.93,-0.22,0.41,0.81,-1.34,-2.62,-1.19,-0.42,rabbit
-0.7,-0.01,-0.35,-1.11,-1.15,0.73,0.54,3.4,1.02,-0.76,rabbit
-1.02,-0.35,-0.26,-0.07,-0.64,1.14,1.3,-1.27,-0.0,0.4,dog
1.19,-0.14,1.02,0.19,-1.01,-0.75,-1.62,-1.22,-0.91,1.42,cat
0.55,-1.13,-0.14,-1.89,1.36,-1.36,1.83,2.23,0.44,-0.76,rabbit
0.69,-0.64,0.35,0.28,-0.79,-0.4,0.31,1.37,-0.64,-0.12,dog
0.34,-1.35,0.27,-0.88,0.2,-0.53,-0.64,0.24,0.12,0.75,dog
0.17,1.19,1.06,-1.02,-0.46,1.18,-0.63,1.43,-0.61,-0.19,cat
1.41,-0.25,-0.37,1.03,0.22,-0.41,1.01,0.34,-0.93,2.05,cat
0.05,-0.46,0.63,-1.69,-0.43,1.66,-1.18,0.74,1.33,-0.01,cat
0.44,0.28,1.48,-1.32,0.64,1.95,-0.53,1.34,-0.11,2.29,rabbit
0.11,-0.02,-0.84,-2.3,1.46,0.32,-2.66,-0.43,0.39,-0.23,rabbit
-1.8,0.24,0.92,1.24,0.3,-1.26,-0.69,-0.47,0.18,0.39,cat
-0.68,-0.69,-0.21,-0.34,0.96,0.22,-0.48,-0.69,-0.79,0.26,dog
0.15,-1.04,0.33,-0.33,0.07,-1.7,0.2,1.49,1.16,0.09,cat
-1.23,-0.46,0.49,1.28,-0.16,1.74,-1.65,-0.06,-0.29,-2.17,rabbit
0.43,0.1,-0.67,0.99,1.14,0.11,0.15,0.8,-1.78,0.34,dog
-0.71,0.14,0.23,-0.38,0.13,1.17,-0.57,2.36,0.16,0.63,cat
-0.86,0.23,-0.82,-0.43,2.28,-0.01,-0.19,1.26,0.5,1.41,cat
0.51,0.97,-0.63,-0.4,-0.95,-0.46,1.08,-1.27,2.03,-1.41,rabbit
-0.74,-0.88,-0.35,-0.14,1.01,-0.5,1.32,-1.4,-0.71,0.22,dog
2.64,0.96,0.07,0.43,-0.9,1.79,-0.98,-1.88,-0.07,0.75,rabbit
0.02,0.17,0.67,-0.22,1.06,-0.57,1.17,1.32,-0.51,-0.8,dog
-0.23,-0.2,1.2,1.44,0.14,-1.2,1.53,0.07,2.0,0.13,rabbit
-1.68,-0.67,1.56,2.02,0.17,-0.05,0.46,0.3,2.25,-1.01,rabbit
-1.58,-0.67,0.46,1.36,-0.87,0.03,1.56,-0.3,-0.61,-0.08,cat
0.23,-1.8,-0.64,-1.67,0.21,0.53,-3.25,-0.13,-1.76,0.5,rabbit
0.57,0.22,-0.23,1.4,1.7,0.09,-0.99,-0.18,0.44,0.09,dog
-0.95,0.2,2.02,0.81,1.14,-1.07,-0.93,0.18,1.09,0.27,cat
0.42,0.39,-0.22,1.44,0.33,0.02,2.1,-2.07,-0.63,0.86,rabbit
2.69,-0.87,-0.07,-0.72,1.18,1.43,-0.45,1.34,0.18,-0.15,rabbit
0.61,2.39,2.66,1.51,-0.22,-1.51,-0.07,-0.51,-0.54,0.86,rabbit
-0.29,-1.11,0.12,-0.85,-0.43,0.02,0.39,0.87,-0.33,0.91,dog
1.52,0.87,0.03,0.26,-0.24,1.05,0.59,0.22,-1.26,1.05,dog
-0.4,-0.1,0.96,-0.47,1.68,-1.33,0.13,-1.18,-0.86,0.18,cat
-1.53,-0.79,-2.17,0.19,-1.41,0.37,-0.26,-0.83,-1.55,-0.68,rabbit
-1.8,-0.64,-1.4,-0.49,-0.36,-1.47,1.11,1.27,-0.71,0.68,rabbit
-0.92,-0.23,0.57,-0.01,0.41,-0.75,1.36,0.39,0.39,0.03,dog
-0.41,-1.51,-0.79,0.61,0.27,-0.67,-0.12,-1.05,0.85,0.11,dog
-1.18,1.1,-0.29,0.64,-1.02,0.59,-0.86,-1.06,-1.44,-0.61,cat
-0.59,-0.72,0.98,0.96,0.49,-0.5,-0.07,0.23,-0.86,0.11,dog
0.91,-0.24,-1.06,0.93,-0.09,0.13,-1.02,0.65,-0.37,0.41,dog
0.26,-0.72,1.22,1.11,0.07,-1.05,-0.0,0.41,1.16,-0.46,dog
1.34,-0.59,0.48,0.73,0.19,0.97,-1.09,-2.76,-0.3,1.05,rabbit
-0.38,-0.24,-1.27,1.54,0.08,-1.47,0.61,-0.69,-0.87,-0.4,cat
-1.21,-0.43,1.15,-1.21,-1.7,-1.18,-2.33,-0.0,-0.05,-2.25,rabbit
2.11,0.32,0.51,0.51,-0.88,2.15,0.99,-0.24,-0.9,0.58,rabbit
1.21,0.45,0.11,-1.03,-0.48,-0.09,0.25,0.74,-1.23,0.58,dog
-1.61,-1.54,0.64,-0.28,0.7,-0.43,0.47,1.63,-0.67,0.34,cat
0.56,-0.61,1.06,-0.42,-0.54,1.28,1.34,0.08,-0.03,0.59,dog
0.57,-0.17,0.97,-0.22,-0.32,-0.42,-0.79,-0.22,-0.68,0.79,dog
-0.79,-1.22,-1.99,-0.06,1.92,0.48,-0.08,-1.52,-0.67,0.0,rabbit
1.52,-0.12,0.38,1.19,0.54,-1.23,3.61,0.9,0.89,-1.07,rabbit
-0.41,0.59,0.63,-0.34,0.82,-1.4,-0.3,1.21,-0.44,0.19,dog
-0.31,-0.56,-0.26,0.11,0.13,0.72,-1.23,0.69,1.54,0.51,dog
-1.8,0.02,-1.87,0.86,0.49,0.89,-0.38,0.34,0.18,-1.33,cat
-0.5,-0.25,-0.66,-1.3,-1.29,1.37,0.44,1.26,-0.55,0.66,cat
0.79,-0.08,-0.64,-0.54,0.89,0.47,-1.22,0.96,-0.35,0.28,dog
-1.46,-1.69,1.88,-1.26,1.96,-0.49,0.45,0.21,-1.26,-0.0,rabbit
-0.76,-0.96,-0.3,0.29,2.11,1.61,-1.26,-1.32,0.06,0.56,rabbit
-0.36,0.25,-0.21,-0.01,0.99,0.35,-0.34,1.43,-0.36,-0.1,dog
-1.85,-0.15,0.99,0.56,-1.06,0.74,0.5,0.52,-0.45,1.2,cat
-1.55,-1.57,0.81,0.07,0.77,1.25,-1.17,1.24,-0.25,0.5,cat
0.38,-1.29,-1.34,-0.09,1.56,1.43,1.71,-0.87,0.55,-0.54,rabbit
0.41,0.56,-1.21,0.03,0.29,-0.32,1.36,-2.21,-2.37,-0.14,rabbit
-0.78,1.06,1.35,0.1,-0.61,0.6,1.07,0.53,-1.38,-2.02,rabbit
0.82,0.8,-1.17,0.0,-1.02,-0.29,-1.4,0.44,-0.32,1.99,cat
-2.04,-1.78,0.0,0.56,0.39,-0.69,2.03,1.28,-0.18,1.2,rabbit
0.1,2.7,-1.45,-0.5,0.44,0.35,-1.03,-0.31,-2.07,-0.05,rabbit
1.18,-0.95,0.54,-0.3,1.01,-0.13,1.06,-1.29,-1.33,0.63,cat
-0.4,-0.29,1.33,-1.14,-0.58,0.06,-0.07,1.16,-0.3,0.35,dog
-0.8,1.63,-0.89,-0.36,1.68,-0.41,-1.48,-0.81,-0.71,0.91,rabbit
-0.22,-1.51,0.58,-0.4,-1.02,1.26,-1.32,0.98,0.04,-0.74,cat
-0.47,0.72,0.88,-0.89,-0.28,-2.09,1.21,-0.76,-1.78,-0.43,rabbit
0.7,0.63,-0.24,-1.25,-0.1,0.7,1.58,-0.44,-1.51,0.6,cat
-0.5,-0.43,2.12,-0.8,-0.34,1.73,-0.61,-0.17,-2.27,1.78,rabbit
0.69,-0.85,1.09,-0.66,2.14,-0.14,-1.97,-1.71,0.84,1.59,rabbit
0.36,-0.53,1.3,-0.37,-1.07,1.55,0.65,-0.01,-0.02,0.66,dog
1.67,-1.62,-2.07,0.51,0.24,-0.87,0.29,-1.01,0.39,1.86,rabbit
-0.11,0.63,-0.41,0.45,-1.58,-0.83,0.53,-2.24,-1.11,-0.02,cat
1.38,0.5,1.96,1.66,0.5,-1.69,-0.74,1.79,-0.08,0.72,rabbit
-0.94,0.57,-1.76,-0.19,-1.72,1.39,-0.65,-0.71,0.05,1.82,rabbit
-0.67,1.91,1.11,0.32,0.31,1.19,-2.08,-1.24,-0.06,-0.77,rabbit
1.05,0.52,0.5,0.55,0.08,-0.4,1.73,-0.07,1.08,0.8,dog
0.48,0.44,0.01,-0.09,0.11,0.84,-0.55,0.15,0.23,-1.05,dog
-1.62,2.01,-0.19,-0.15,1.17,0.2,-0.63,-0.21,1.9,-1.38,rabbit
-1.59,1.36,0.24,0.46,-1.12,0.68,-0.02,1.37,-0.86,0.02,cat
0.54,0.62,-1.31,-0.67,-0.52,-0.76,-0.06,0.64,-1.99,-1.45,cat
-0.79,1.22,-0.06,1.45,-0.48,0.03,-1.35,1.3,-0.36,-1.49,cat
-0.77,0.09,-2.16,0.05,1.29,-0.59,0.02,0.75,-0.51,-2.09,rabbit
-1.14,0.69,-0.59,0.86,-1.8,1.29,-0.31,-1.23,0.72,-0.19,cat
-0.74,-1.06,-1.1,1.03,0.4,-0.14,1.01,-0.86,-0.3,-1.29,cat
-0.78,-0.08,1.73,0.66,-0.79,-0.02,-0.8,0.16,-1.04,-0.34,dog
-1.22,-0.8,0.76,0.39,-0.12,0.04,-0.68,-0.92,0.37,-0.2,dog
1.78,1.76,-0.47,0.62,0.71,0.58,0.57,0.55,-0.3,1.21,cat
0.34,1.01,0.79,-0.66,-1.95,-0.92,1.23,-1.05,0.82,-0.61,cat
0.79,-0.29,-0.53,-1.07,0.57,-1.05,-0.03,0.07,0.04,-0.57,dog
0.73,-1.27,0.97,0.67,-0.64,0.1,0.29,1.47,-0.28,1.4,cat
-0.84,-0.62,-0.25,0.06,-0.32,-1.01,-1.39,-0.15,-0.28,0.53,dog
-0.5,-0.16,0.39,-0.14,-0.1,0.61,0.39,1.63,0.22,0.38,dog
0.56,-0.83,-1.47,0.21,1.75,-0.79,0.02,0.18,-0.62,1.08,cat
1.01,0.79,-1.08,0.5,0.03,-1.03,0.63,-0.06,-0.51,-2.67,rabbit
-0.94,0.36,0.2,1.52,0.48,-0.35,-0.84,0.3,0.38,1.78,cat
0.82,-1.71,-1.64,0.31,-0.04,0.36,1.01,-1.11,0.11,1.58,rabbit
-2.01,-0.85,0.01,0.83,0.28,-0.52,0.05,0.34,1.04,0.26,dog
0.39,2.67,0.4,1.29,-0.23,-1.37,-0.33,-0.97,0.45,-0.86,rabbit
-1.41,0.6,0.77,0.48,-0.29,-0.49,0.8,-0.38,-2.17,-0.5,cat
0.01,-0.2,0.7,0.14,0.45,0.82,-1.7,-2.34,-1.31,-2.97,rabbit
-0.43,-0.04,1.51,-0.78,-0.27,1.02,-0.44,-1.02,0.19,0.56,dog
1.01,2.8,0.92,1.76,0.48,-1.65,0.18,0.18,1.68,0.51,rabbit
0.6,0.57,-0.76,1.4,0.21,0.79,-1.24,0.75,-0.96,-0.23,dog
0.04,0.95,-0.97,0.33,0.18,0.45,0.65,0.14,0.46,0.3,dog
-1.87,1.57,2.35,0.4,0.69,0.77,-1.35,0.29,0.08,0.57,rabbit
1.06,1.21,-0.49,-0.13,-0.77,-1.06,0.63,2.26,-1.36,-1.0,rabbit
-1.14,-0.32,0.67,0.35,-0.08,-0.98,0.1,0.71,-0.72,0.07,dog
0.86,-1.17,2.0,-0.32,0.55,1.21,0.17,0.08,-1.43,2.05,rabbit
-1.32,0.56,-0.04,-1.56,0.18,0.62,0.07,-1.34,1.02,-0.25,cat
0.03,-1.67,-1.04,-0.51,0.87,-0.05,1.96,1.02,-0.59,0.06,cat
